device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price
Honor,Android,14.5,yes,no,13,5,64,3,3020,146,2020,127,4.307572449,4.715100245
Honor,Android,17.3,yes,yes,13,16,128,8,4300,213,2020,325,5.162096647,5.519017936
Honor,Android,16.69,yes,yes,13,8,128,8,4200,213,2020,162,5.111083765,5.884630724
Honor,Android,25.5,yes,yes,13,8,64,6,7250,480,2020,345,5.135386588,5.630960854
Honor,Android,15.32,yes,no,13,8,64,3,5000,185,2020,293,4.389994804,4.947837479
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2020,223,4.413888608,5.060694494
Honor,Android,13.84,yes,no,8,5,32,2,3020,144,2020,234,3.878259375,4.518958489
Honor,Android,15.77,yes,no,13,8,64,4,3400,164,2020,219,4.729421148,5.18872569
Honor,Android,15.32,yes,no,13,16,128,6,4000,165,2020,161,4.886054204,5.299916088
Honor,Android,16.23,yes,no,13,8,128,6,4000,176,2020,327,4.773223771,5.073610093
Honor,Android,15.47,yes,no,13,8,64,3,3020,150,2020,268,4.26703657,4.713665782
Honor,Android,15.32,yes,no,13,8,64,4,5000,185,2020,344,4.657383057,4.770176021
Honor,Android,16.69,yes,yes,13,16,128,8,4100,206,2019,537,5.383255763,6.213967894
Honor,Android,15.32,yes,no,13,16,64,4,4000,171.5,2019,336,4.617592706,5.398750764
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,230,4.111365547,4.487512143
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2019,248,4.411221293,4.866225902
Honor,Android,15.9,yes,no,13,32,128,6,3750,172,2019,395,5.022366217,5.517934708
Honor,Android,16.74,yes,no,13,16,64,4,4000,206,2019,421,4.777020443,5.193179048
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,532,4.248638089,4.792313433
Honor,Android,25.43,yes,no,5,2,32,3,5100,173,2019,266,4.267877613,5.517051209
Honor,Android,20.32,yes,no,8,8,32,3,5100,173,2019,321,4.556295018,5.304001183
Others,Android,20.32,no,no,8,0.3,16,1,5680,453.6,2013,933,4.45213555,5.48438191
HTC,Android,15.29,yes,no,13,16,32,3,3850,170,2019,187,4.560800238,5.195730778
HTC,Android,12.88,yes,no,13,13,64,4,3075,150,2019,499,4.595624773,5.39771011
HTC,Android,15.29,yes,no,13,8,32,3,3300,160,2019,497,4.426521875,5.006091654
HTC,Android,15.24,yes,no,13,14.5,128,6,3930,180,2019,202,5.213467289,6.039968956
HTC,Android,15.29,yes,no,13,16,64,4,3850,170,2019,493,4.636668853,5.631426812
Huawei,Android,15.37,yes,yes,10.5,16,128,6,4000,192,2020,91,4.905496976,5.520380334
Huawei,Android,15.37,yes,yes,10.5,16,64,6,4000,182,2020,299,4.820442843,5.39603374
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,354,4.577901759,5.558024257
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,306,4.872828107,5.478970866
Huawei,Android,20.32,yes,no,5,2,16,2,5100,310,2020,231,4.170533701,4.598246271
Huawei,Android,15.37,yes,yes,10.5,16,128,8,4000,189,2020,205,4.709440107,5.765661212
Huawei,Android,25.5,yes,no,8,8,64,4,7250,450,2020,211,5.133088887,5.51877732
Huawei,Android,16.71,yes,yes,10.5,16,256,8,4200,226,2020,120,6.153455837,7.244220373
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,161,4.644390899,5.0681492
Huawei,Android,25.6,yes,yes,13,8,128,6,7250,460,2020,139,5.18245748,6.310336373
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,93,4.322143925,4.95342982
Huawei,Android,16.74,yes,no,13,16,128,6,4000,206,2019,460,5.065439086,5.672429397
Huawei,Android,15.34,yes,no,13,16,128,8,4200,183,2019,223,4.931375613,5.634110801
Huawei,Android,25.6,yes,no,13,8,128,6,7250,460,2019,256,4.997685135,6.107267847
Huawei,Android,15.9,yes,no,13,32,64,6,4000,178,2019,206,4.99653637,5.294560318
Huawei,Android,15.32,yes,no,13,16,64,6,4000,163,2019,488,4.537426534,5.306731865
Huawei,Android,16.23,yes,no,13,8,64,4,4000,176,2019,516,4.705286977,5.010968572
Huawei,Android,16.59,yes,yes,13,16,512,12,4500,198,2019,289,5.674182005,7.438006989
Huawei,Android,16.81,yes,yes,13,16,128,6,4200,196,2019,477,5.380450196,6.477264628
Huawei,Android,16.81,yes,no,13,16,128,6,4200,196,2019,195,5.014826499,6.313729189
Huawei,Android,15.9,yes,no,13,32,128,6,4000,178,2019,244,5.143474781,5.67029463
Huawei,Android,16.74,yes,no,13,16,128,4,4000,163.5,2019,376,4.839293241,5.250281918
